system,condition,target,n_human,n_generated,auroc
attention_pooling,echoes__without_StableAudio,echoes,59,742,0.9557197679199599
attention_pooling,echoes__count_control_StableAudio,echoes,59,742,0.9654278404678148
attention_pooling,echoes__without_AudioLDM,echoes,59,742,0.9542578464068708
attention_pooling,echoes__count_control_AudioLDM,echoes,59,742,0.9674494038101331
attention_pooling,echoes__without_DiffRhythm,echoes,59,742,0.9315752204303532
attention_pooling,echoes__count_control_DiffRhythm,echoes,59,742,0.9623212572525013
attention_pooling,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9515430607064888
attention_pooling,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9603443344117415
attention_pooling,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.9430838034929903
attention_pooling,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9638005010652568
attention_pooling,artifactbench__fmc_fit_only,artifactbench,860,1404,0.7954453223348572
fixed_fusion,artifactbench__base,artifactbench,860,1404,0.9750848903465182
fixed_fusion,echoes__base,echoes,59,742,0.9508200465987481
fixed_fusion,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9823296411005025
fixed_fusion,artifactbench__without_Suno,artifactbench,860,1404,0.9723530775856357
fixed_fusion,artifactbench__count_control_Suno,artifactbench,860,1404,0.9715265354800239
fixed_fusion,artifactbench__without_Udio,artifactbench,860,1404,0.9075378486715697
fixed_fusion,artifactbench__count_control_Udio,artifactbench,860,1404,0.9721315344861856
fixed_fusion,artifactbench__without_MusicGen,artifactbench,860,1404,0.9756430961372823
fixed_fusion,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9780386603061021
fixed_fusion,echoes__without_Suno,echoes,59,742,0.939227465850427
fixed_fusion,echoes__count_control_Suno,echoes,59,742,0.944424139978985
fixed_fusion,echoes__without_Udio,echoes,59,742,0.9392274658504272
fixed_fusion,echoes__count_control_Udio,echoes,59,742,0.9525789209191831
fixed_fusion,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9792939056787398
fixed_fusion,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9806414227096978
fixed_fusion,artifactbench__without_StableAudio,artifactbench,860,1404,0.972533210759955
fixed_fusion,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9762779102895383
fixed_fusion,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9756021003114027
fixed_fusion,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9748935764924137
fixed_fusion,echoes__without_StableAudio,echoes,59,742,0.9495979715839007
fixed_fusion,echoes__count_control_StableAudio,echoes,59,742,0.9530015076065603
fixed_fusion,echoes__without_AudioLDM,echoes,59,742,0.9435218602951254
fixed_fusion,echoes__count_control_AudioLDM,echoes,59,742,0.9492210699438074
fixed_fusion,echoes__without_DiffRhythm,echoes,59,742,0.9490040659692083
fixed_fusion,echoes__count_control_DiffRhythm,echoes,59,742,0.9484558454018001
fixed_fusion,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9798923728925011
fixed_fusion,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9829022988505747
fixed_fusion,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.979648333727873
fixed_fusion,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.982124973697362
fixed_fusion,artifactbench__fmc_fit_only,artifactbench,860,1404,0.8691023984628635
two_member,artifactbench__base,artifactbench,860,1404,0.9796660703637448
two_member,echoes__base,echoes,59,742,0.9435903878660515
two_member,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9761639739340856
