system,trainer,pool,n_human,n_generated,auroc,in_corpus
fingerprint,sonics,AB: MoM YouTube,155,3614,0.6698234464537551,False
fingerprint,sonics,AB: SONICS YouTube,294,3614,0.683159594773161,False
fingerprint,sonics,AB: YouTube lossless,73,3614,0.6111848140033811,False
trajectory,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.813284343905582,False
trajectory,artifactbench,Echoes: FMA 30 s,59,3614,0.8859144757205969,False
trajectory,artifactbench,SONICS: YouTube full,6882,3614,0.9062054360267402,False
trajectory,artifactbench,AB: FMA mp3 30 s,148,3614,0.8874067066513109,True
trajectory,artifactbench,AB: MoM YouTube,347,3614,0.9278087616362243,True
trajectory,artifactbench,AB: SONICS YouTube,294,3614,0.9224952847768881,True
trajectory,artifactbench,AB: YouTube lossless,73,3614,0.905333899371546,True
trajectory,echoes,FMC: MusicCaps 10 s,1102,3614,0.7927732642867975,False
trajectory,echoes,Echoes: FMA 30 s,59,3614,0.9540768949377655,True
trajectory,echoes,SONICS: YouTube full,6882,3614,0.8389479014333969,False
trajectory,echoes,AB: FMA mp3 30 s,148,3614,0.9555276776499799,False
trajectory,echoes,AB: MoM YouTube,347,3614,0.9331338741908269,False
trajectory,echoes,AB: SONICS YouTube,294,3614,0.9347765116007665,False
trajectory,echoes,AB: YouTube lossless,73,3614,0.8779745434421692,False
trajectory,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.6829761654867088,True
trajectory,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.6468395036252615,False
trajectory,fakemusiccaps,SONICS: YouTube full,6882,3614,0.7596460823427638,False
trajectory,fakemusiccaps,AB: FMA mp3 30 s,148,3614,0.653982635097743,False
trajectory,fakemusiccaps,AB: MoM YouTube,347,3614,0.6061761098768956,False
trajectory,fakemusiccaps,AB: SONICS YouTube,294,3614,0.6038365539907165,False
trajectory,fakemusiccaps,AB: YouTube lossless,73,3614,0.5816421678252761,False
trajectory,sonics,FMC: MusicCaps 10 s,1102,3614,0.6796567492620451,False
trajectory,sonics,Echoes: FMA 30 s,59,3614,0.7503587742582987,False
trajectory,sonics,SONICS: YouTube full,6882,3614,0.774916663811999,True
trajectory,sonics,AB: FMA mp3 30 s,148,3614,0.6782127312702851,False
trajectory,sonics,AB: MoM YouTube,155,3614,0.6520752628666298,False
trajectory,sonics,AB: SONICS YouTube,294,3614,0.6685706379950984,False
trajectory,sonics,AB: YouTube lossless,73,3614,0.6435740764606439,False
three_support,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.8641914333952354,False
three_support,artifactbench,Echoes: FMA 30 s,59,3614,0.835127986268091,False
three_support,artifactbench,SONICS: YouTube full,6882,3614,0.8655403354869589,False
three_support,artifactbench,AB: FMA mp3 30 s,150,3614,0.8486736764434606,True
three_support,artifactbench,AB: MoM YouTube,347,3614,0.8600423584874064,True
three_support,artifactbench,AB: SONICS YouTube,294,3614,0.8670664724107684,True
three_support,artifactbench,AB: YouTube lossless,73,3614,0.8378490042528675,True
three_support,echoes,FMC: MusicCaps 10 s,1102,3614,0.8733632666671355,False
three_support,echoes,Echoes: FMA 30 s,59,3614,0.862441728494649,True
three_support,echoes,SONICS: YouTube full,6882,3614,0.8620723165281067,False
three_support,echoes,AB: FMA mp3 30 s,150,3614,0.8680225050728647,False
three_support,echoes,AB: MoM YouTube,347,3614,0.8608485412955382,False
three_support,echoes,AB: SONICS YouTube,294,3614,0.8672245876767972,False
three_support,echoes,AB: YouTube lossless,73,3614,0.8196283858055811,False
three_support,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.9014405814452167,True
three_support,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.8368819937531071,False
three_support,fakemusiccaps,SONICS: YouTube full,6882,3614,0.8847315615417264,False
three_support,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.8805552481092049,False
three_support,fakemusiccaps,AB: MoM YouTube,347,3614,0.8826872441306542,False
three_support,fakemusiccaps,AB: SONICS YouTube,294,3614,0.8905192957094294,False
three_support,fakemusiccaps,AB: YouTube lossless,73,3614,0.8815451327031105,False
three_support,sonics,FMC: MusicCaps 10 s,1102,3614,0.8336206645461238,False
three_support,sonics,Echoes: FMA 30 s,59,3614,0.8041608434243478,False
three_support,sonics,SONICS: YouTube full,6882,3614,0.8412791797277757,True
three_support,sonics,AB: FMA mp3 30 s,150,3614,0.8201014572957019,False
three_support,sonics,AB: MoM YouTube,155,3614,0.8410803863112983,False
three_support,sonics,AB: SONICS YouTube,294,3614,0.8457500875280937,False
three_support,sonics,AB: YouTube lossless,73,3614,0.8360068531055029,False
handcrafted,artifactbench,FMC: MusicCaps 10 s,1102,3614,0.6340200490731245,False
handcrafted,artifactbench,Echoes: FMA 30 s,59,3614,0.7867098759063154,False
handcrafted,artifactbench,SONICS: YouTube full,6882,3614,0.8741214660221389,False
handcrafted,artifactbench,AB: FMA mp3 30 s,150,3614,0.661031175059952,True
handcrafted,artifactbench,AB: MoM YouTube,347,3614,0.8931181811367577,True
handcrafted,artifactbench,AB: SONICS YouTube,294,3614,0.890620000075293,True
handcrafted,artifactbench,AB: YouTube lossless,73,3614,0.8553077453737747,True
handcrafted,echoes,FMC: MusicCaps 10 s,1102,3614,0.6347693030832907,False
handcrafted,echoes,Echoes: FMA 30 s,59,3614,0.7633918940466923,True
handcrafted,echoes,SONICS: YouTube full,6882,3614,0.8835078540346584,False
handcrafted,echoes,AB: FMA mp3 30 s,150,3614,0.6988581442538278,False
handcrafted,echoes,AB: MoM YouTube,347,3614,0.9047906875120608,False
handcrafted,echoes,AB: SONICS YouTube,294,3614,0.8906924695722229,False
handcrafted,echoes,AB: YouTube lossless,73,3614,0.8718492013554593,False
handcrafted,fakemusiccaps,FMC: MusicCaps 10 s,1102,3614,0.697377962491099,True
handcrafted,fakemusiccaps,Echoes: FMA 30 s,59,3614,0.7881918715353662,False
handcrafted,fakemusiccaps,SONICS: YouTube full,6882,3614,0.8877810500576804,False
handcrafted,fakemusiccaps,AB: FMA mp3 30 s,150,3614,0.715185390149419,False
handcrafted,fakemusiccaps,AB: MoM YouTube,347,3614,0.9031854985973535,False
handcrafted,fakemusiccaps,AB: SONICS YouTube,294,3614,0.906790109513645,False
handcrafted,fakemusiccaps,AB: YouTube lossless,73,3614,0.8736799811994451,False
handcrafted,sonics,FMC: MusicCaps 10 s,1102,3614,0.4454360286725248,False
handcrafted,sonics,Echoes: FMA 30 s,59,3614,0.5645840563533527,False
