system,trainer,target,n_human,n_generated,auroc,in_summary
comoe_xcodec,fakemusiccaps,music8k,1102,3614,0.5640785431127386,False
comoe_xcodec,sonics,artifactbench,670,1258,0.6691526469401798,True
comoe_xcodec,sonics,echoes,59,742,0.7065192562474303,True
comoe_xcodec,sonics,fakemusiccaps,1102,5520,0.6766369282464031,True
comoe_xcodec,sonics,music8k,1102,3614,0.4647825506173311,False
clam,artifactbench,echoes,59,742,0.8179679290968066,True
clam,artifactbench,fakemusiccaps,1102,5520,0.7004254451721508,True
clam,artifactbench,sonics,2500,2500,0.93766448,False
clam,artifactbench,music8k,1102,3614,0.6589668932172424,False
clam,echoes,artifactbench,862,1404,0.7136380312134373,True
clam,echoes,fakemusiccaps,1102,5520,0.6063009613614245,True
clam,echoes,sonics,2500,2500,0.6749925600000001,False
clam,echoes,music8k,1102,3614,0.623354980681098,False
clam,fakemusiccaps,artifactbench,862,1404,0.8403261149780872,True
clam,fakemusiccaps,echoes,59,742,0.8157750468271734,True
clam,fakemusiccaps,sonics,2500,2500,0.93052224,False
clam,fakemusiccaps,music8k,1102,3614,0.4911784379560431,False
clam,sonics,artifactbench,670,1258,0.7565443845953065,True
clam,sonics,echoes,59,742,0.6983187902599479,True
clam,sonics,fakemusiccaps,1102,5520,0.645525099292459,True
clam,sonics,music8k,1102,3614,0.5779018276374294,False
specttra,artifactbench,echoes,59,742,0.8010644616017177,True
specttra,artifactbench,fakemusiccaps,1102,5520,0.69543657447592,True
specttra,artifactbench,sonics,2500,2500,0.98433176,False
specttra,artifactbench,music8k,1102,3614,0.6491988455863816,False
specttra,echoes,artifactbench,862,1404,0.7541900503037394,True
specttra,echoes,fakemusiccaps,1102,5520,0.6161842598437623,True
specttra,echoes,sonics,2500,2500,0.7939113600000001,False
specttra,echoes,music8k,1102,3614,0.6679667295062457,False
specttra,fakemusiccaps,artifactbench,862,1404,0.7630039462986098,True
specttra,fakemusiccaps,echoes,59,742,0.793549271323496,True
specttra,fakemusiccaps,sonics,2500,2500,0.9620528800000001,False
specttra,fakemusiccaps,music8k,1102,3614,0.47407088987472595,False
specttra,sonics,artifactbench,670,1258,0.611853688631564,True
specttra,sonics,echoes,59,742,0.6997807117730367,True
specttra,sonics,fakemusiccaps,1102,5520,0.661757197059365,True
specttra,sonics,music8k,1102,3614,0.244702492926781,False
sofia_vag,artifactbench,echoes,59,742,0.7889807665950933,True
sofia_vag,artifactbench,fakemusiccaps,1102,5520,0.7587133242589232,True
sofia_vag,artifactbench,sonics,2500,2500,0.9602452,False
sofia_vag,artifactbench,music8k,1102,3614,0.577248113557179,False
sofia_vag,echoes,artifactbench,864,1405,0.8632772340846184,True
sofia_vag,echoes,fakemusiccaps,1102,5520,0.8020774974354927,True
sofia_vag,echoes,sonics,2500,2500,0.9743061599999999,False
sofia_vag,echoes,music8k,1102,3614,0.8130048801946854,False
sofia_vag,fakemusiccaps,artifactbench,864,1405,0.8395944543297746,True
sofia_vag,fakemusiccaps,echoes,59,742,0.8371099639088126,True
sofia_vag,fakemusiccaps,sonics,2500,2500,0.91742664,False
sofia_vag,fakemusiccaps,music8k,1102,3614,0.5862764486163408,False
sofia_vag,sonics,artifactbench,672,1259,0.7199047808162186,True
sofia_vag,sonics,echoes,59,742,0.6207455799716752,True
sofia_vag,sonics,fakemusiccaps,1102,5520,0.5359939273784161,True
sofia_vag,sonics,music8k,1102,3614,0.33552807342287555,False
musicdet,artifactbench,echoes,59,742,0.6630042487093974,True
musicdet,artifactbench,fakemusiccaps,1102,5520,0.503012556221889,True
musicdet,artifactbench,sonics,2500,2500,0.8325835199999999,False
musicdet,artifactbench,music8k,1102,3614,0.6206818713673484,False
musicdet,echoes,artifactbench,862,1404,0.7279706308128582,True
musicdet,echoes,fakemusiccaps,1102,5520,0.5383619867697731,True
musicdet,echoes,sonics,2500,2500,0.8835476,False
musicdet,echoes,music8k,1102,3614,0.5704433102966182,False
musicdet,fakemusiccaps,artifactbench,862,1404,0.6668889351603968,True
musicdet,fakemusiccaps,echoes,59,742,0.6692174151400245,True
musicdet,fakemusiccaps,sonics,2500,2500,0.75905512,False
musicdet,fakemusiccaps,music8k,1102,3614,0.7180789920625276,False
musicdet,sonics,artifactbench,670,1258,0.6883058870986878,True
musicdet,sonics,echoes,59,742,0.7091004614189775,True
musicdet,sonics,fakemusiccaps,1102,5520,0.517774172124464,True
musicdet,sonics,music8k,1102,3614,0.6081480620334111,False
clam_released,mom,artifactbench,862,1404,0.9446187888763296,True
clam_released,mom,echoes,59,742,0.8984878249348989,True
clam_released,mom,fakemusiccaps,1102,5520,0.7150852205476209,True
clam_released,mom,sonics,2500,2500,0.9816824000000001,False
clam_released,mom,music8k,1102,3614,0.7386007430269661,False
sofia_vag_released,sonics,artifactbench,672,1259,0.8926089299897879,True
sofia_vag_released,sonics,echoes,59,742,0.8384348302800494,True
sofia_vag_released,sonics,fakemusiccaps,1102,5520,0.7657427865014862,True
sofia_vag_released,sonics,music8k,1102,3614,0.8089223999831268,False
specttra_released,sonics,artifactbench,672,1259,0.7523710238662582,True
