system,condition,target,level,family,generator,n_human,n_generated,auroc
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Suno v3.5,860,29,0.9945068163592622
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Suno,Suno v4,860,100,0.7818488372093023
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio,860,100,0.8747093023255813
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio (AIME),860,30,0.8742248062015503
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9773255813953489
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.9208720930232558
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio (mixed),860,80,0.6812063953488372
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio CDN,860,18,0.674547803617571
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.7904240766073871
trajectory,artifactbench__count_control_Udio,artifactbench,generator,Yue,Yue,860,100,0.979546511627907
trajectory,artifactbench__without_MusicGen,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9992093023255815
trajectory,artifactbench__without_MusicGen,artifactbench,family,MusicGen,MusicGen,860,90,0.9882170542635659
trajectory,artifactbench__without_MusicGen,artifactbench,family,Riffusion,Riffusion,860,130,0.9083005366726298
trajectory,artifactbench__without_MusicGen,artifactbench,family,StableAudio,StableAudio,860,100,0.9716046511627907
trajectory,artifactbench__without_MusicGen,artifactbench,family,Suno,Suno,860,479,0.9213574792445501
trajectory,artifactbench__without_MusicGen,artifactbench,family,Udio,Udio,860,405,0.8624117140396209
trajectory,artifactbench__without_MusicGen,artifactbench,family,Yue,Yue,860,100,0.9824999999999999
trajectory,artifactbench__without_MusicGen,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9992093023255815
trajectory,artifactbench__without_MusicGen,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9947286821705427
trajectory,artifactbench__without_MusicGen,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.996937984496124
trajectory,artifactbench__without_MusicGen,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.972984496124031
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Riffusion,Riffusion,860,100,0.9367325581395349
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.8135271317829457
trajectory,artifactbench__without_MusicGen,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9790697674418605
trajectory,artifactbench__without_MusicGen,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.964139534883721
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9992732558139534
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Google Chirp v3,860,80,0.9997383720930233
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9993023255813953
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Suno (mixed),860,80,0.8047093023255814
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Suno v3,860,30,0.9935658914728682
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Suno v3.5,860,29,0.993785084202085
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Suno,Suno v4,860,100,0.7846162790697674
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio,860,100,0.8786046511627907
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio (AIME),860,30,0.8487209302325581
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9894331395348837
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.9484738372093023
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio (mixed),860,80,0.6885901162790697
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio CDN,860,18,0.6801033591731266
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.7995896032831737
trajectory,artifactbench__without_MusicGen,artifactbench,generator,Yue,Yue,860,100,0.9824999999999999
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,DiffRhythm,DiffRhythm,860,100,0.9993953488372094
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,MusicGen,MusicGen,860,90,0.9908785529715762
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,Riffusion,Riffusion,860,130,0.9058407871198568
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,StableAudio,StableAudio,860,100,0.9726627906976744
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,Suno,Suno,860,479,0.9266495120648638
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,Udio,Udio,860,405,0.8677662934252082
trajectory,artifactbench__count_control_MusicGen,artifactbench,family,Yue,Yue,860,100,0.9845116279069768
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,DiffRhythm,DiffRhythm,860,100,0.9993953488372094
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,MusicGen,MusicGen Large,860,30,0.9987596899224807
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,MusicGen,MusicGen Medium,860,30,0.9993023255813954
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,MusicGen,MusicGen Small,860,30,0.9745736434108526
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Riffusion,Riffusion,860,100,0.9406744186046512
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Riffusion,Riffusion (AIME),860,30,0.7897286821705426
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,StableAudio,Stable Audio v1,860,50,0.9786046511627906
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,StableAudio,Stable Audio v2,860,50,0.9667209302325581
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Google Chirp v2 XXL,860,80,0.9995058139534884
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Google Chirp v3,860,80,0.9998401162790698
