system,trainer,target,subset,n_generated,n_human,auroc
learned_fusion,sonics,artifactbench,strict_unseen,520,670,0.9494460390355913
learned_fusion,sonics,artifactbench,strict_unseen_disclosed,520,670,0.9494460390355913
learned_fusion,sonics,echoes,all,742,59,0.8873635159212389
learned_fusion,sonics,echoes,seen_brand_seen_class,136,59,0.7974825523429712
learned_fusion,sonics,echoes,unseen_brand_seen_class,136,59,0.8546859421734796
learned_fusion,sonics,echoes,seen_brand_unseen_class,0,59,
learned_fusion,sonics,echoes,strict_unseen,470,59,0.9228272628921745
learned_fusion,sonics,echoes,strict_unseen_disclosed,470,59,0.9228272628921745
learned_fusion,sonics,fakemusiccaps,all,5520,1102,0.9512069623083195
learned_fusion,sonics,fakemusiccaps,seen_brand_seen_class,0,1102,
learned_fusion,sonics,fakemusiccaps,unseen_brand_seen_class,0,1102,
learned_fusion,sonics,fakemusiccaps,seen_brand_unseen_class,0,1102,
learned_fusion,sonics,fakemusiccaps,strict_unseen,5520,1102,0.9512069623083195
learned_fusion,sonics,fakemusiccaps,strict_unseen_disclosed,5520,1102,0.9512069623083195
learned_fusion,sonics,music8k,all,3614,1102,0.8019182308766974
learned_fusion,sonics,music8k,seen_brand_seen_class,670,1102,0.728432700381938
learned_fusion,sonics,music8k,unseen_brand_seen_class,0,1102,
learned_fusion,sonics,music8k,seen_brand_unseen_class,0,1102,
learned_fusion,sonics,music8k,strict_unseen,2944,1102,0.8186421797325021
learned_fusion,sonics,music8k,strict_unseen_disclosed,2944,1102,0.8186421797325021
three_support,artifactbench,echoes,all,742,59,0.8965690529489698
three_support,artifactbench,echoes,seen_brand_seen_class,359,59,0.914782116047401
three_support,artifactbench,echoes,unseen_brand_seen_class,179,59,0.9431871981819903
three_support,artifactbench,echoes,seen_brand_unseen_class,0,59,
three_support,artifactbench,echoes,strict_unseen,204,59,0.8236124958457959
three_support,artifactbench,echoes,strict_unseen_disclosed,204,59,0.8236124958457959
three_support,artifactbench,fakemusiccaps,all,5520,1102,0.9449138917383414
three_support,artifactbench,fakemusiccaps,seen_brand_seen_class,2208,1102,0.9794338028354244
three_support,artifactbench,fakemusiccaps,unseen_brand_seen_class,0,1102,
three_support,artifactbench,fakemusiccaps,seen_brand_unseen_class,0,1102,
three_support,artifactbench,fakemusiccaps,strict_unseen,3312,1102,0.9219006176736193
three_support,artifactbench,fakemusiccaps,strict_unseen_disclosed,3312,1102,0.9219006176736193
three_support,artifactbench,sonics,all,12778,6882,0.9973264291207429
three_support,artifactbench,sonics,seen_brand_seen_class,12778,6882,0.9973264291207429
three_support,artifactbench,sonics,unseen_brand_seen_class,0,6882,
three_support,artifactbench,sonics,seen_brand_unseen_class,0,6882,
three_support,artifactbench,sonics,strict_unseen,0,6882,
three_support,artifactbench,sonics,strict_unseen_disclosed,0,6882,
three_support,artifactbench,music8k,all,3614,1102,0.8641914333952354
three_support,artifactbench,music8k,seen_brand_seen_class,670,1102,0.9470257604897473
three_support,artifactbench,music8k,unseen_brand_seen_class,1651,1102,0.7852371273638261
three_support,artifactbench,music8k,seen_brand_unseen_class,0,1102,
three_support,artifactbench,music8k,strict_unseen,1293,1102,0.9220835912487034
three_support,artifactbench,music8k,strict_unseen_disclosed,1293,1102,0.9220835912487034
three_support,echoes,artifactbench,all,1405,864,0.8810440556214578
three_support,echoes,artifactbench,seen_brand_seen_class,1005,864,0.8805014280449603
three_support,echoes,artifactbench,unseen_brand_seen_class,180,864,0.7798418209876543
three_support,echoes,artifactbench,seen_brand_unseen_class,130,864,0.9488603988603989
three_support,echoes,artifactbench,strict_unseen,90,864,0.991550925925926
three_support,echoes,artifactbench,strict_unseen_disclosed,90,864,0.991550925925926
three_support,echoes,fakemusiccaps,all,5520,1102,0.981957869749336
three_support,echoes,fakemusiccaps,seen_brand_seen_class,2208,1102,0.9911762868565718
three_support,echoes,fakemusiccaps,unseen_brand_seen_class,2208,1102,0.9693294799968437
three_support,echoes,fakemusiccaps,seen_brand_unseen_class,0,1102,
three_support,echoes,fakemusiccaps,strict_unseen,1104,1102,0.9887778150398485
three_support,echoes,fakemusiccaps,strict_unseen_disclosed,1104,1102,0.9887778150398485
three_support,echoes,sonics,all,12778,6882,0.8181794347930449
three_support,echoes,sonics,seen_brand_seen_class,8605,6882,0.924024406780119
three_support,echoes,sonics,unseen_brand_seen_class,4173,6882,0.5999201527540388
three_support,echoes,sonics,seen_brand_unseen_class,0,6882,
three_support,echoes,sonics,strict_unseen,0,6882,
three_support,echoes,sonics,strict_unseen_disclosed,0,6882,
three_support,echoes,music8k,all,3614,1102,0.8733632666671355
three_support,echoes,music8k,seen_brand_seen_class,1659,1102,0.9886419453259949
three_support,echoes,music8k,unseen_brand_seen_class,662,1102,0.4758116251144582
three_support,echoes,music8k,seen_brand_unseen_class,0,1102,
three_support,echoes,music8k,strict_unseen,1293,1102,0.9289950213560945
three_support,echoes,music8k,strict_unseen_disclosed,1293,1102,0.9289950213560945
three_support,fakemusiccaps,artifactbench,all,1405,864,0.8159969355476472
three_support,fakemusiccaps,artifactbench,seen_brand_seen_class,190,864,0.9953947368421052
three_support,fakemusiccaps,artifactbench,unseen_brand_seen_class,100,864,0.9981018518518519
three_support,fakemusiccaps,artifactbench,seen_brand_unseen_class,0,864,
three_support,fakemusiccaps,artifactbench,strict_unseen,1115,864,0.7690946271383492
three_support,fakemusiccaps,artifactbench,strict_unseen_disclosed,230,864,0.9185587761674717
three_support,fakemusiccaps,echoes,all,742,59,0.87386358444881
three_support,fakemusiccaps,echoes,seen_brand_seen_class,150,59,0.9098305084745762
three_support,fakemusiccaps,echoes,unseen_brand_seen_class,177,59,0.994063008713971
three_support,fakemusiccaps,echoes,seen_brand_unseen_class,0,59,
three_support,fakemusiccaps,echoes,strict_unseen,415,59,0.80959771288544
three_support,fakemusiccaps,echoes,strict_unseen_disclosed,143,59,0.8591916558018253
three_support,fakemusiccaps,sonics,all,12778,6882,0.7489989162388548
three_support,fakemusiccaps,sonics,seen_brand_seen_class,0,6882,
three_support,fakemusiccaps,sonics,unseen_brand_seen_class,0,6882,
three_support,fakemusiccaps,sonics,seen_brand_unseen_class,0,6882,
three_support,fakemusiccaps,sonics,strict_unseen,12778,6882,0.7489989162388548
three_support,fakemusiccaps,sonics,strict_unseen_disclosed,0,6882,
three_support,fakemusiccaps,music8k,all,3614,1102,0.9014405814452167
three_support,fakemusiccaps,music8k,seen_brand_seen_class,0,1102,
three_support,fakemusiccaps,music8k,unseen_brand_seen_class,1651,1102,0.8435340293129281
three_support,fakemusiccaps,music8k,seen_brand_unseen_class,0,1102,
three_support,fakemusiccaps,music8k,strict_unseen,1963,1102,0.9501434431723731
three_support,fakemusiccaps,music8k,strict_unseen_disclosed,1293,1102,0.9440263993049268
three_support,sonics,artifactbench,all,1259,672,0.9158983887439011
three_support,sonics,artifactbench,seen_brand_seen_class,659,672,0.9708681082448154
three_support,sonics,artifactbench,unseen_brand_seen_class,80,672,0.9896205357142858
three_support,sonics,artifactbench,seen_brand_unseen_class,0,672,
three_support,sonics,artifactbench,strict_unseen,520,672,0.8348929716117215
three_support,sonics,artifactbench,strict_unseen_disclosed,520,672,0.8348929716117215
three_support,sonics,echoes,all,742,59,0.7725113070492029
three_support,sonics,echoes,seen_brand_seen_class,136,59,0.8875872382851445
three_support,sonics,echoes,unseen_brand_seen_class,136,59,0.7218344965104685
three_support,sonics,echoes,seen_brand_unseen_class,0,59,
three_support,sonics,echoes,strict_unseen,470,59,0.7538766678687342
three_support,sonics,echoes,strict_unseen_disclosed,470,59,0.7538766678687342
three_support,sonics,fakemusiccaps,all,5520,1102,0.9196904015097714
three_support,sonics,fakemusiccaps,seen_brand_seen_class,0,1102,
three_support,sonics,fakemusiccaps,unseen_brand_seen_class,0,1102,
three_support,sonics,fakemusiccaps,seen_brand_unseen_class,0,1102,
three_support,sonics,fakemusiccaps,strict_unseen,5520,1102,0.9196904015097714
three_support,sonics,fakemusiccaps,strict_unseen_disclosed,5520,1102,0.9196904015097714
three_support,sonics,music8k,all,3614,1102,0.8336206645461238
three_support,sonics,music8k,seen_brand_seen_class,670,1102,0.906339897608148
three_support,sonics,music8k,unseen_brand_seen_class,0,1102,
three_support,sonics,music8k,seen_brand_unseen_class,0,1102,
three_support,sonics,music8k,strict_unseen,2944,1102,0.8170711108261659
three_support,sonics,music8k,strict_unseen_disclosed,2944,1102,0.8170711108261659
single_support,artifactbench,echoes,all,742,59,0.8035314541550551
single_support,artifactbench,echoes,seen_brand_seen_class,359,59,0.8498654454463908
single_support,artifactbench,echoes,unseen_brand_seen_class,179,59,0.7979358015339455
single_support,artifactbench,echoes,seen_brand_unseen_class,0,59,
single_support,artifactbench,echoes,strict_unseen,204,59,0.7269026254569624
single_support,artifactbench,echoes,strict_unseen_disclosed,204,59,0.7269026254569624
single_support,artifactbench,fakemusiccaps,all,5520,1102,0.8566517727978117
single_support,artifactbench,fakemusiccaps,seen_brand_seen_class,2208,1102,0.9410397597254004
single_support,artifactbench,fakemusiccaps,unseen_brand_seen_class,0,1102,
single_support,artifactbench,fakemusiccaps,seen_brand_unseen_class,0,1102,
single_support,artifactbench,fakemusiccaps,strict_unseen,3312,1102,0.8003931148460857
single_support,artifactbench,fakemusiccaps,strict_unseen_disclosed,3312,1102,0.8003931148460857
single_support,artifactbench,sonics,all,12778,6882,0.9822837109371678
single_support,artifactbench,sonics,seen_brand_seen_class,12778,6882,0.9822837109371678
single_support,artifactbench,sonics,unseen_brand_seen_class,0,6882,
single_support,artifactbench,sonics,seen_brand_unseen_class,0,6882,
single_support,artifactbench,sonics,strict_unseen,0,6882,
single_support,artifactbench,sonics,strict_unseen_disclosed,0,6882,
single_support,artifactbench,music8k,all,3614,1102,0.8202955435456187
single_support,artifactbench,music8k,seen_brand_seen_class,670,1102,0.86386353170626
single_support,artifactbench,music8k,unseen_brand_seen_class,1651,1102,0.764168116776831
single_support,artifactbench,music8k,seen_brand_unseen_class,0,1102,
single_support,artifactbench,music8k,strict_unseen,1293,1102,0.8693874457325007
single_support,artifactbench,music8k,strict_unseen_disclosed,1293,1102,0.8693874457325007
single_support,echoes,artifactbench,all,1405,864,0.8380931198102016
single_support,echoes,artifactbench,seen_brand_seen_class,1005,864,0.8427250322461765
single_support,echoes,artifactbench,unseen_brand_seen_class,180,864,0.717136059670782
single_support,echoes,artifactbench,seen_brand_unseen_class,130,864,0.9096599002849004
single_support,echoes,artifactbench,strict_unseen,90,864,0.9249099794238682
single_support,echoes,artifactbench,strict_unseen_disclosed,90,864,0.9249099794238682
single_support,echoes,fakemusiccaps,all,5520,1102,0.9375335358636471
single_support,echoes,fakemusiccaps,seen_brand_seen_class,2208,1102,0.9804316591704147
single_support,echoes,fakemusiccaps,unseen_brand_seen_class,2208,1102,0.8912143434861517
single_support,echoes,fakemusiccaps,seen_brand_unseen_class,0,1102,
single_support,echoes,fakemusiccaps,strict_unseen,1104,1102,0.9443756740051027
single_support,echoes,fakemusiccaps,strict_unseen_disclosed,1104,1102,0.9443756740051027
single_support,echoes,sonics,all,12778,6882,0.7689281913401999
single_support,echoes,sonics,seen_brand_seen_class,8605,6882,0.8879709440842315
single_support,echoes,sonics,unseen_brand_seen_class,4173,6882,0.5234542188114693
single_support,echoes,sonics,seen_brand_unseen_class,0,6882,
single_support,echoes,sonics,strict_unseen,0,6882,
single_support,echoes,sonics,strict_unseen_disclosed,0,6882,
single_support,echoes,music8k,all,3614,1102,0.8490328496660999
single_support,echoes,music8k,seen_brand_seen_class,1659,1102,0.9766838528009243
single_support,echoes,music8k,unseen_brand_seen_class,662,1102,0.45660183900735274
single_support,echoes,music8k,seen_brand_unseen_class,0,1102,
single_support,echoes,music8k,strict_unseen,1293,1102,0.8861684373346358
single_support,echoes,music8k,strict_unseen_disclosed,1293,1102,0.8861684373346358
