system,trainer,target,carried_fpr,carried_tpr,paired_carried_fpr,paired_carried_tpr,recalibrated_fpr,recalibrated_tpr,n_human_test
muq_fst,echoes,artifactbench,0.0625,0.7075,0.06927710843373494,0.7074733096085409,0.07379518072289157,0.7153024911032029,664.0
muq_fst,echoes,fakemusiccaps,0.2514,0.7504000000000002,0.25277161862527714,0.7503623188405797,0.031042128603104215,0.25072463768115943,902.0
muq_fst,echoes,sonics,0.1352,0.9232,,,,,
muq_fst,echoes,music8k,0.2514,0.8486,,,,,
muq_fst,fakemusiccaps,artifactbench,0.0093,0.2221000000000001,0.012048192771084338,0.2220640569395018,0.07228915662650602,0.39786476868327403,664.0
muq_fst,fakemusiccaps,echoes,0.0169,0.47430000000000005,,,,,
muq_fst,fakemusiccaps,sonics,0.01,0.14080000000000004,,,,,
muq_fst,fakemusiccaps,music8k,0.049,0.04680000000000002,,,,,
muq_fst,sonics,artifactbench,0.1458,0.6664,0.1504237288135593,0.6664019062748213,0.04025423728813559,0.4749801429706116,472.0
muq_fst,sonics,echoes,0.1017,0.6590999999999999,,,,,
muq_fst,sonics,fakemusiccaps,0.2368,0.6678000000000001,0.24279379157427938,0.6679347826086957,0.045454545454545456,0.2759057971014493,902.0
muq_fst,sonics,music8k,0.2368,0.19940000000000002,,,,,
comoe_xcodec,artifactbench,echoes,0.1186,0.5310000000000001,,,,,
comoe_xcodec,artifactbench,fakemusiccaps,0.157,0.5030000000000001,0.16186252771618626,0.5030797101449276,0.06762749445676275,0.27445652173913043,902.0
comoe_xcodec,artifactbench,sonics,0.0332,0.914,,,,,
comoe_xcodec,artifactbench,music8k,0.1561,0.30890000000000006,,,,,
comoe_xcodec,echoes,artifactbench,0.065,0.5186,0.07099697885196375,0.5185185185185185,0.08006042296072508,0.5405982905982906,662.0
comoe_xcodec,echoes,fakemusiccaps,0.1697,0.4058999999999999,0.16851441241685144,0.40597826086956523,0.06097560975609756,0.23931159420289855,902.0
comoe_xcodec,echoes,sonics,0.0656,0.9316000000000001,,,,,
comoe_xcodec,echoes,music8k,0.1688,0.3167999999999999,,,,,
comoe_xcodec,fakemusiccaps,artifactbench,0.0278,0.3946,0.027190332326283987,0.3945868945868946,0.0513595166163142,0.45014245014245013,662.0
comoe_xcodec,fakemusiccaps,echoes,0.0339,0.40430000000000005,,,,,
comoe_xcodec,fakemusiccaps,sonics,0.0164,0.952,,,,,
comoe_xcodec,fakemusiccaps,music8k,0.049,0.05319999999999998,,,,,
